"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","WORLDBANKINCOMEGROUP (CODE)","WORLDBANKINCOMEGROUP (DISPLAY)","WORLDBANKINCOMEGROUP (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","SEX (CODE)","SEX (DISPLAY)","SEX (URL)","Display Value","Numeric","Low","High","Comments"
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","2012","2012","","WPR","Western Pacific","","WB_HI","High-income","","AUS","Australia","","BTSX","Both sexes","","83","83.00000","","",""
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","2012","2012","","EUR","Europe","","WB_HI","High-income","","AUT","Austria","","FMLE","Female","","83","83.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","2012","2012","","EUR","Europe","","WB_HI","High-income","","AUT","Austria","","FMLE","Female","","25","25.00000","","",""
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","2012","2012","","EUR","Europe","","WB_HI","High-income","","BEL","Belgium","","FMLE","Female","","83","83.00000","","",""
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","2000","2000","","EMR","Eastern Mediterranean","","WB_HI","High-income","","BHR","Bahrain","","MLE","Male","","73","73.00000","","",""
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","1990","1990","","EMR","Eastern Mediterranean","","WB_HI","High-income","","BHR","Bahrain","","FMLE","Female","","74","74.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","1990","1990","","EMR","Eastern Mediterranean","","WB_HI","High-income","","BHR","Bahrain","","MLE","Male","","17","17.00000","","",""
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","2012","2012","","AMR","Americas","","WB_HI","High-income","","BHS","Bahamas","","MLE","Male","","72","72.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","2000","2000","","AMR","Americas","","WB_HI","High-income","","BHS","Bahamas","","BTSX","Both sexes","","21","21.00000","","",""
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","1990","1990","","AMR","Americas","","WB_HI","High-income","","BRB","Barbados","","MLE","Male","","71","71.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","2012","2012","","AMR","Americas","","WB_HI","High-income","","BRB","Barbados","","FMLE","Female","","25","25.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","2012","2012","","AMR","Americas","","WB_HI","High-income","","BRB","Barbados","","BTSX","Both sexes","","23","23.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","1990","1990","","WPR","Western Pacific","","WB_HI","High-income","","BRN","Brunei Darussalam","","FMLE","Female","","20","20.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","2000","2000","","WPR","Western Pacific","","WB_HI","High-income","","BRN","Brunei Darussalam","","FMLE","Female","","22","22.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","2012","2012","","WPR","Western Pacific","","WB_HI","High-income","","BRN","Brunei Darussalam","","FMLE","Female","","21","21.00000","","",""
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","2000","2000","","AMR","Americas","","WB_HI","High-income","","CAN","Canada","","FMLE","Female","","82","82.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","2000","2000","","AMR","Americas","","WB_HI","High-income","","CAN","Canada","","MLE","Male","","21","21.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","1990","1990","","AMR","Americas","","WB_HI","High-income","","CAN","Canada","","FMLE","Female","","24","24.00000","","",""
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","1990","1990","","EUR","Europe","","WB_HI","High-income","","CHE","Switzerland","","MLE","Male","","74","74.00000","","",""
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","2012","2012","","EUR","Europe","","WB_HI","High-income","","CHE","Switzerland","","BTSX","Both sexes","","83","83.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","2000","2000","","EUR","Europe","","WB_HI","High-income","","CHE","Switzerland","","BTSX","Both sexes","","23","23.00000","","",""
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","2012","2012","","WPR","Western Pacific","","WB_HI","High-income","","COK","Cook Islands","","BTSX","Both sexes","","76","76.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","2012","2012","","WPR","Western Pacific","","WB_HI","High-income","","COK","Cook Islands","","FMLE","Female","","22","22.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","2000","2000","","WPR","Western Pacific","","WB_HI","High-income","","COK","Cook Islands","","BTSX","Both sexes","","18","18.00000","","",""
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","2000","2000","","EUR","Europe","","WB_HI","High-income","","CYP","Cyprus","","FMLE","Female","","79","79.00000","","",""
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","2000","2000","","EUR","Europe","","WB_HI","High-income","","CYP","Cyprus","","BTSX","Both sexes","","77","77.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","2000","2000","","EUR","Europe","","WB_HI","High-income","","CYP","Cyprus","","FMLE","Female","","22","22.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","2012","2012","","EUR","Europe","","WB_HI","High-income","","CYP","Cyprus","","FMLE","Female","","26","26.00000","","",""
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","2012","2012","","EUR","Europe","","WB_HI","High-income","","CZE","Czech Republic","","MLE","Male","","75","75.00000","","",""
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","1990","1990","","EUR","Europe","","WB_HI","High-income","","CZE","Czech Republic","","FMLE","Female","","75","75.00000","","",""
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","1990","1990","","EUR","Europe","","WB_HI","High-income","","DEU","Germany","","FMLE","Female","","79","79.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","1990","1990","","EUR","Europe","","WB_HI","High-income","","DEU","Germany","","MLE","Male","","18","18.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","2000","2000","","EUR","Europe","","WB_HI","High-income","","DEU","Germany","","MLE","Male","","20","20.00000","","",""
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","2012","2012","","EUR","Europe","","WB_HI","High-income","","DNK","Denmark","","BTSX","Both sexes","","80","80.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","1990","1990","","EUR","Europe","","WB_HI","High-income","","DNK","Denmark","","MLE","Male","","18","18.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","2000","2000","","EUR","Europe","","WB_HI","High-income","","DNK","Denmark","","MLE","Male","","19","19.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","2000","2000","","EUR","Europe","","WB_HI","High-income","","DNK","Denmark","","BTSX","Both sexes","","21","21.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","2012","2012","","EUR","Europe","","WB_HI","High-income","","DNK","Denmark","","BTSX","Both sexes","","23","23.00000","","",""
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","2012","2012","","EUR","Europe","","WB_HI","High-income","","ESP","Spain","","BTSX","Both sexes","","82","82.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","2000","2000","","EUR","Europe","","WB_HI","High-income","","ESP","Spain","","FMLE","Female","","25","25.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","1990","1990","","EUR","Europe","","WB_HI","High-income","","ESP","Spain","","BTSX","Both sexes","","22","22.00000","","",""
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","1990","1990","","EUR","Europe","","WB_HI","High-income","","EST","Estonia","","FMLE","Female","","75","75.00000","","",""
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","2012","2012","","EUR","Europe","","WB_HI","High-income","","EST","Estonia","","FMLE","Female","","81","81.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","2012","2012","","EUR","Europe","","WB_HI","High-income","","EST","Estonia","","MLE","Male","","18","18.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","2000","2000","","EUR","Europe","","WB_HI","High-income","","EST","Estonia","","FMLE","Female","","21","21.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","2012","2012","","EUR","Europe","","WB_HI","High-income","","EST","Estonia","","FMLE","Female","","24","24.00000","","",""
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","1990","1990","","EUR","Europe","","WB_HI","High-income","","FIN","Finland","","FMLE","Female","","79","79.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","2012","2012","","EUR","Europe","","WB_HI","High-income","","FIN","Finland","","MLE","Male","","22","22.00000","","",""
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","2000","2000","","EUR","Europe","","WB_HI","High-income","","FRA","France","","MLE","Male","","75","75.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","2000","2000","","EUR","Europe","","WB_HI","High-income","","FRA","France","","MLE","Male","","20","20.00000","","",""
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","2012","2012","","EUR","Europe","","WB_HI","High-income","","GBR","United Kingdom of Great Britain and Northern Ireland","","FMLE","Female","","83","83.00000","","",""
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","2012","2012","","EUR","Europe","","WB_HI","High-income","","GBR","United Kingdom of Great Britain and Northern Ireland","","BTSX","Both sexes","","81","81.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","1990","1990","","EUR","Europe","","WB_HI","High-income","","GBR","United Kingdom of Great Britain and Northern Ireland","","MLE","Male","","18","18.00000","","",""
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","2000","2000","","AFR","Africa","","WB_HI","High-income","","GNQ","Equatorial Guinea","","FMLE","Female","","52","52.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","1990","1990","","AFR","Africa","","WB_HI","High-income","","GNQ","Equatorial Guinea","","FMLE","Female","","15","15.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","2012","2012","","AFR","Africa","","WB_HI","High-income","","GNQ","Equatorial Guinea","","FMLE","Female","","17","17.00000","","",""
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","2012","2012","","EUR","Europe","","WB_HI","High-income","","GRC","Greece","","MLE","Male","","78","78.00000","","",""
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","2012","2012","","EUR","Europe","","WB_HI","High-income","","GRC","Greece","","FMLE","Female","","83","83.00000","","",""
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","2012","2012","","EUR","Europe","","WB_HI","High-income","","HRV","Croatia","","BTSX","Both sexes","","78","78.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","1990","1990","","EUR","Europe","","WB_HI","High-income","","HRV","Croatia","","MLE","Male","","16","16.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","2000","2000","","EUR","Europe","","WB_HI","High-income","","HRV","Croatia","","BTSX","Both sexes","","19","19.00000","","",""
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","2000","2000","","EUR","Europe","","WB_HI","High-income","","HUN","Hungary","","MLE","Male","","68","68.00000","","",""
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","2000","2000","","EUR","Europe","","WB_HI","High-income","","HUN","Hungary","","BTSX","Both sexes","","72","72.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","1990","1990","","EUR","Europe","","WB_HI","High-income","","HUN","Hungary","","MLE","Male","","15","15.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","2012","2012","","EUR","Europe","","WB_HI","High-income","","HUN","Hungary","","FMLE","Female","","22","22.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","2000","2000","","EUR","Europe","","WB_HI","High-income","","HUN","Hungary","","BTSX","Both sexes","","18","18.00000","","",""
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","2000","2000","","EUR","Europe","","WB_HI","High-income","","IRL","Ireland","","BTSX","Both sexes","","77","77.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","1990","1990","","EUR","Europe","","WB_HI","High-income","","IRL","Ireland","","BTSX","Both sexes","","19","19.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","2000","2000","","EUR","Europe","","WB_HI","High-income","","IRL","Ireland","","BTSX","Both sexes","","20","20.00000","","",""
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","2012","2012","","EUR","Europe","","WB_HI","High-income","","ISL","Iceland","","FMLE","Female","","84","84.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","2000","2000","","EUR","Europe","","WB_HI","High-income","","ISL","Iceland","","FMLE","Female","","24","24.00000","","",""
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","1990","1990","","EUR","Europe","","WB_HI","High-income","","ISR","Israel","","MLE","Male","","75","75.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","2000","2000","","EUR","Europe","","WB_HI","High-income","","ISR","Israel","","MLE","Male","","21","21.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","2012","2012","","EUR","Europe","","WB_HI","High-income","","ISR","Israel","","BTSX","Both sexes","","24","24.00000","","",""
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","1990","1990","","EUR","Europe","","WB_HI","High-income","","ITA","Italy","","MLE","Male","","74","74.00000","","",""
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","2000","2000","","EUR","Europe","","WB_HI","High-income","","ITA","Italy","","MLE","Male","","77","77.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","2000","2000","","EUR","Europe","","WB_HI","High-income","","ITA","Italy","","MLE","Male","","21","21.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","2012","2012","","EUR","Europe","","WB_HI","High-income","","ITA","Italy","","BTSX","Both sexes","","25","25.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","2012","2012","","WPR","Western Pacific","","WB_HI","High-income","","JPN","Japan","","FMLE","Female","","29","29.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","1990","1990","","WPR","Western Pacific","","WB_HI","High-income","","JPN","Japan","","BTSX","Both sexes","","23","23.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","2000","2000","","WPR","Western Pacific","","WB_HI","High-income","","JPN","Japan","","BTSX","Both sexes","","25","25.00000","","",""
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","1990","1990","","WPR","Western Pacific","","WB_HI","High-income","","KOR","Republic of Korea","","FMLE","Female","","76","76.00000","","",""
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","1990","1990","","WPR","Western Pacific","","WB_HI","High-income","","KOR","Republic of Korea","","BTSX","Both sexes","","72","72.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","2000","2000","","WPR","Western Pacific","","WB_HI","High-income","","KOR","Republic of Korea","","FMLE","Female","","23","23.00000","","",""
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","2000","2000","","EMR","Eastern Mediterranean","","WB_HI","High-income","","KWT","Kuwait","","MLE","Male","","74","74.00000","","",""
"WHOSIS_000001","Life expectancy at birth (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=65","PUBLISHED","Published","","2000","2000","","EMR","Eastern Mediterranean","","WB_HI","High-income","","KWT","Kuwait","","FMLE","Female","","76","76.00000","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2977","PUBLISHED","Published","","1990","1990","","EMR","Eastern Mediterranean","","WB_HI","High-income","","KWT","Kuwait","","FMLE","Female","","18","18.00000","","",""
