"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"WHOSIS_000015","PUBLISHED","1990","WPR","WB_HI","BRN","FMLE","20","20.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","WPR","WB_HI","BRN","FMLE","22","22.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","WPR","WB_HI","BRN","FMLE","21","21.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","AMR","WB_HI","CAN","FMLE","82","82.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","AMR","WB_HI","CAN","MLE","21","21.00000","","",""
"WHOSIS_000015","PUBLISHED","1990","AMR","WB_HI","CAN","FMLE","24","24.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","CHE","MLE","74","74.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","CHE","BTSX","83","83.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","EUR","WB_HI","CHE","BTSX","23","23.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","WPR","WB_HI","COK","BTSX","76","76.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","WPR","WB_HI","COK","FMLE","22","22.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","WPR","WB_HI","COK","BTSX","18","18.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","CYP","FMLE","79","79.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","CYP","BTSX","77","77.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","EUR","WB_HI","CYP","FMLE","22","22.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","EUR","WB_HI","CYP","FMLE","26","26.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","CZE","MLE","75","75.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","CZE","FMLE","75","75.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","DEU","FMLE","79","79.00000","","",""
"WHOSIS_000015","PUBLISHED","1990","EUR","WB_HI","DEU","MLE","18","18.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","EUR","WB_HI","DEU","MLE","20","20.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","DNK","BTSX","80","80.00000","","",""
"WHOSIS_000015","PUBLISHED","1990","EUR","WB_HI","DNK","MLE","18","18.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","EUR","WB_HI","DNK","MLE","19","19.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","EUR","WB_HI","DNK","BTSX","21","21.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","EUR","WB_HI","DNK","BTSX","23","23.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","ESP","BTSX","82","82.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","EUR","WB_HI","ESP","FMLE","25","25.00000","","",""
"WHOSIS_000015","PUBLISHED","1990","EUR","WB_HI","ESP","BTSX","22","22.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","EST","FMLE","75","75.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","EST","FMLE","81","81.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","EUR","WB_HI","EST","MLE","18","18.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","EUR","WB_HI","EST","FMLE","21","21.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","EUR","WB_HI","EST","FMLE","24","24.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","FIN","FMLE","79","79.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","EUR","WB_HI","FIN","MLE","22","22.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","FRA","MLE","75","75.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","EUR","WB_HI","FRA","MLE","20","20.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","GBR","FMLE","83","83.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","GBR","BTSX","81","81.00000","","",""
"WHOSIS_000015","PUBLISHED","1990","EUR","WB_HI","GBR","MLE","18","18.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","WB_HI","GNQ","FMLE","52","52.00000","","",""
"WHOSIS_000015","PUBLISHED","1990","AFR","WB_HI","GNQ","FMLE","15","15.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","AFR","WB_HI","GNQ","FMLE","17","17.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","GRC","MLE","78","78.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","GRC","FMLE","83","83.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","HRV","BTSX","78","78.00000","","",""
"WHOSIS_000015","PUBLISHED","1990","EUR","WB_HI","HRV","MLE","16","16.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","EUR","WB_HI","HRV","BTSX","19","19.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","HUN","MLE","68","68.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","HUN","BTSX","72","72.00000","","",""
"WHOSIS_000015","PUBLISHED","1990","EUR","WB_HI","HUN","MLE","15","15.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","EUR","WB_HI","HUN","FMLE","22","22.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","EUR","WB_HI","HUN","BTSX","18","18.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","IRL","BTSX","77","77.00000","","",""
"WHOSIS_000015","PUBLISHED","1990","EUR","WB_HI","IRL","BTSX","19","19.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","EUR","WB_HI","IRL","BTSX","20","20.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","ISL","FMLE","84","84.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","EUR","WB_HI","ISL","FMLE","24","24.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","ISR","MLE","75","75.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","EUR","WB_HI","ISR","MLE","21","21.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","EUR","WB_HI","ISR","BTSX","24","24.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","ITA","MLE","74","74.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","ITA","MLE","77","77.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","EUR","WB_HI","ITA","MLE","21","21.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","EUR","WB_HI","ITA","BTSX","25","25.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","WPR","WB_HI","JPN","FMLE","29","29.00000","","",""
"WHOSIS_000015","PUBLISHED","1990","WPR","WB_HI","JPN","BTSX","23","23.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","WPR","WB_HI","JPN","BTSX","25","25.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","WPR","WB_HI","KOR","FMLE","76","76.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","WPR","WB_HI","KOR","BTSX","72","72.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","WPR","WB_HI","KOR","FMLE","23","23.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","EMR","WB_HI","KWT","MLE","74","74.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","EMR","WB_HI","KWT","FMLE","76","76.00000","","",""
"WHOSIS_000015","PUBLISHED","1990","EMR","WB_HI","KWT","FMLE","18","18.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","LUX","MLE","75","75.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","LUX","BTSX","82","82.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","EUR","WB_HI","LUX","MLE","20","20.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","EUR","WB_HI","LUX","BTSX","25","25.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","MCO","BTSX","80","80.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","EUR","WB_HI","MCO","BTSX","24","24.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","MLT","FMLE","78","78.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","MLT","FMLE","80","80.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","MLT","BTSX","76","76.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","EUR","WB_HI","MLT","FMLE","23","23.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","NOR","MLE","76","76.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","NOR","FMLE","80","80.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","WPR","WB_HI","NRU","MLE","73","73.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","WPR","WB_HI","NRU","BTSX","73","73.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","WPR","WB_HI","NRU","BTSX","77","77.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","WPR","WB_HI","NRU","FMLE","27","27.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","WPR","WB_HI","NZL","BTSX","79","79.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","WPR","WB_HI","NZL","FMLE","24","24.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","EMR","WB_HI","OMN","MLE","74","74.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","EMR","WB_HI","OMN","FMLE","70","70.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","EMR","WB_HI","OMN","FMLE","78","78.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","EMR","WB_HI","OMN","MLE","17","17.00000","","",""
"WHOSIS_000015","PUBLISHED","1990","EMR","WB_HI","OMN","FMLE","18","18.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","EMR","WB_HI","OMN","FMLE","22","22.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","EUR","WB_HI","PRT","MLE","22","22.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","EUR","WB_HI","PRT","BTSX","24","24.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","EMR","WB_HI","QAT","MLE","74","74.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","EMR","WB_HI","QAT","MLE","77","77.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","EMR","WB_HI","QAT","BTSX","77","77.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","EMR","WB_HI","QAT","BTSX","22","22.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","EMR","WB_HI","SAU","BTSX","73","73.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","SMR","MLE","78","78.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","SMR","MLE","82","82.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","SMR","FMLE","85","85.00000","","",""
"WHOSIS_000015","PUBLISHED","1990","EUR","WB_HI","SMR","MLE","20","20.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","EUR","WB_HI","SMR","MLE","22","22.00000","","",""
"WHOSIS_000015","PUBLISHED","1990","EUR","WB_HI","SMR","FMLE","25","25.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","SVK","MLE","66","66.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","SVK","BTSX","73","73.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","SVK","BTSX","76","76.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","SVN","MLE","70","70.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","SVN","FMLE","83","83.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","SVN","BTSX","74","74.00000","","",""
"WHOSIS_000015","PUBLISHED","1990","EUR","WB_HI","SVN","BTSX","19","19.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","EUR","WB_HI","SVN","BTSX","23","23.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","SWE","BTSX","78","78.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","AMR","WB_HI","TTO","MLE","67","67.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","AMR","WB_HI","TTO","FMLE","71","71.00000","","",""
"WHOSIS_000015","PUBLISHED","1990","AMR","WB_HI","TTO","FMLE","18","18.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","EMR","WB_LI","AFG","BTSX","55","55.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","EMR","WB_LI","AFG","FMLE","16","16.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","EMR","WB_LI","AFG","FMLE","17","17.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","AFR","WB_LI","BDI","FMLE","51","51.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","AFR","WB_LI","BDI","MLE","15","15.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","AFR","WB_LI","BEN","MLE","51","51.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","WB_LI","BEN","MLE","53","53.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","AFR","WB_LI","BEN","MLE","15","15.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","AFR","WB_LI","BEN","BTSX","16","16.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","AFR","WB_LI","BFA","MLE","48","48.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","WB_LI","BFA","MLE","49","49.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","AFR","WB_LI","BFA","BTSX","58","58.00000","","",""
"WHOSIS_000015","PUBLISHED","1990","AFR","WB_LI","BFA","BTSX","15","15.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","AFR","WB_LI","BFA","BTSX","15","15.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","SEAR","WB_LI","BGD","BTSX","65","65.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","SEAR","WB_LI","BGD","BTSX","70","70.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","SEAR","WB_LI","BGD","FMLE","18","18.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","SEAR","WB_LI","BGD","FMLE","19","19.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","SEAR","WB_LI","BGD","BTSX","18","18.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","AFR","WB_LI","CAF","FMLE","50","50.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","AFR","WB_LI","CAF","FMLE","52","52.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","AFR","WB_LI","CAF","BTSX","48","48.00000","","",""
"WHOSIS_000015","PUBLISHED","1990","AFR","WB_LI","CAF","FMLE","15","15.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","AFR","WB_LI","CAF","FMLE","15","15.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","WB_LI","COD","FMLE","50","50.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","AFR","WB_LI","COD","MLE","14","14.00000","","",""
"WHOSIS_000015","PUBLISHED","1990","AFR","WB_LI","COD","FMLE","16","16.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","AFR","WB_LI","COD","BTSX","15","15.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","WB_LI","COM","MLE","57","57.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","AFR","WB_LI","COM","MLE","60","60.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","WB_LI","COM","BTSX","59","59.00000","","",""
"WHOSIS_000015","PUBLISHED","1990","AFR","WB_LI","COM","MLE","14","14.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","AFR","WB_LI","COM","MLE","15","15.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","AFR","WB_LI","COM","BTSX","16","16.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","AFR","WB_LI","ERI","FMLE","66","66.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","AFR","WB_LI","ERI","BTSX","48","48.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","AFR","WB_LI","ERI","FMLE","17","17.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","AFR","WB_LI","ETH","FMLE","65","65.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","WB_LI","ETH","BTSX","51","51.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","AFR","WB_LI","ETH","FMLE","17","17.00000","","",""
"WHOSIS_000015","PUBLISHED","1990","AFR","WB_LI","ETH","BTSX","15","15.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","WB_LI","GHA","FMLE","59","59.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","AFR","WB_LI","GHA","FMLE","64","64.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","AFR","WB_LI","GHA","MLE","17","17.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","AFR","WB_LI","GIN","MLE","57","57.00000","","",""
"WHOSIS_000015","PUBLISHED","1990","AFR","WB_LI","GIN","MLE","15","15.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","AFR","WB_LI","GIN","MLE","16","16.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","AFR","WB_LI","GMB","BTSX","61","61.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","AFR","WB_LI","GMB","FMLE","17","17.00000","","",""
"WHOSIS_000015","PUBLISHED","1990","AFR","WB_LI","GMB","BTSX","16","16.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","AFR","WB_LI","GMB","BTSX","17","17.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","AFR","WB_LI","GNB","FMLE","15","15.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","AMR","WB_LI","HTI","FMLE","57","57.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","AMR","WB_LI","HTI","FMLE","64","64.00000","","",""
"WHOSIS_000015","PUBLISHED","1990","AMR","WB_LI","HTI","FMLE","16","16.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","AMR","WB_LI","HTI","FMLE","18","18.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","AFR","WB_LI","KEN","BTSX","61","61.00000","","",""
"WHOSIS_000015","PUBLISHED","1990","AFR","WB_LI","KEN","MLE","16","16.00000","","",""
"WHOSIS_000015","PUBLISHED","1990","AFR","WB_LI","KEN","FMLE","18","18.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","EUR","WB_LI","KGZ","MLE","62","62.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","WB_LI","KGZ","MLE","62","62.00000","","",""
"WHOSIS_000015","PUBLISHED","1990","EUR","WB_LI","KGZ","MLE","16","16.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","EUR","WB_LI","KGZ","MLE","15","15.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","EUR","WB_LI","KGZ","BTSX","17","17.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","WPR","WB_LI","KHM","BTSX","54","54.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","WPR","WB_LI","KHM","BTSX","61","61.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","WPR","WB_LI","KHM","BTSX","72","72.00000","","",""
"WHOSIS_000015","PUBLISHED","1990","WPR","WB_LI","KHM","BTSX","17","17.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","WPR","WB_LI","KHM","BTSX","20","20.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","WPR","WB_LI","LAO","FMLE","67","67.00000","","",""
"WHOSIS_000015","PUBLISHED","1990","WPR","WB_LI","LAO","FMLE","16","16.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","WPR","WB_LI","LAO","FMLE","18","18.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","WB_LI","LBR","MLE","50","50.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","WB_LI","LBR","FMLE","52","52.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","AFR","WB_LI","MDG","MLE","50","50.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","WB_LI","MDG","MLE","57","57.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","AFR","WB_LI","MDG","MLE","62","62.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","AFR","WB_LI","MDG","BTSX","16","16.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","AFR","WB_LI","MLI","FMLE","57","57.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","AFR","WB_LI","MLI","BTSX","46","46.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","AFR","WB_LI","MLI","BTSX","14","14.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","SEAR","WB_LI","MMR","FMLE","61","61.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","SEAR","WB_LI","MMR","FMLE","68","68.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","SEAR","WB_LI","MMR","FMLE","17","17.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","SEAR","WB_LI","MMR","FMLE","17","17.00000","","",""
"WHOSIS_000015","PUBLISHED","1990","SEAR","WB_LI","MMR","BTSX","16","16.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","AFR","WB_LI","MOZ","MLE","52","52.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","AFR","WB_LI","MOZ","FMLE","45","45.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","WB_LI","MOZ","FMLE","49","49.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","AFR","WB_LI","MOZ","FMLE","54","54.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","AFR","WB_LI","MOZ","MLE","14","14.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","AFR","WB_LI","MOZ","MLE","16","16.00000","","",""
"WHOSIS_000015","PUBLISHED","1990","AFR","WB_LI","MRT","MLE","15","15.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","AFR","WB_LI","MRT","MLE","15","15.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","AFR","WB_LI","MRT","BTSX","16","16.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","AFR","WB_LI","MWI","BTSX","59","59.00000","","",""
"WHOSIS_000015","PUBLISHED","1990","AFR","WB_LI","MWI","MLE","14","14.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","AFR","WB_LI","MWI","FMLE","17","17.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","AFR","WB_LI","MWI","BTSX","16","16.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","AFR","WB_LI","NER","FMLE","59","59.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","AFR","WB_LI","NER","BTSX","43","43.00000","","",""
"WHOSIS_000015","PUBLISHED","1990","AFR","WB_LI","NER","FMLE","15","15.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","WPR","WB_LI","NIU","FMLE","75","75.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","WPR","WB_LI","NIU","FMLE","76","76.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","WPR","WB_LI","NIU","FMLE","21","21.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","SEAR","WB_LI","NPL","MLE","61","61.00000","","",""
"WHOSIS_000015","PUBLISHED","1990","SEAR","WB_LI","NPL","MLE","14","14.00000","","",""
"WHOSIS_000015","PUBLISHED","1990","SEAR","WB_LI","NPL","FMLE","16","16.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","SEAR","WB_LI","PRK","MLE","60","60.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","SEAR","WB_LI","PRK","BTSX","70","70.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","SEAR","WB_LI","PRK","MLE","12","12.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","AFR","WB_LI","RWA","FMLE","66","66.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","AFR","WB_LI","RWA","BTSX","48","48.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","AFR","WB_LI","RWA","BTSX","65","65.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","AFR","WB_LI","RWA","FMLE","19","19.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","WB_LI","SEN","FMLE","59","59.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","AFR","WB_LI","SEN","BTSX","57","57.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","AFR","WB_LI","SEN","FMLE","16","16.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","AFR","WB_LI","SEN","FMLE","17","17.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","AFR","WB_LI","SLE","MLE","11","11.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","EMR","WB_LI","SOM","MLE","49","49.00000","","",""
