"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","Display Value","Numeric","Low","High","Comments"
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EUR","Europe","","AZE","Azerbaijan","","225","225.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AMR","Americas","","BHS","Bahamas","","120","120.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","BHR","Bahrain","","10 [7 - 15]","10.00000","7.00000","15.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","SEAR","South-East Asia","","BGD","Bangladesh","","4794","4794.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AMR","Americas","","BRB","Barbados","","28","28.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EUR","Europe","","BLR","Belarus","","581","581.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EUR","Europe","","BEL","Belgium","","117","117.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AMR","Americas","","BLZ","Belize","","145","145.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AFR","Africa","","BEN","Benin","","633 [156 - 2521]","633.00000","156.00000","2521.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","SEAR","South-East Asia","","BTN","Bhutan","","14","14.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AMR","Americas","","BOL","Bolivia (Plurinational State of)","","1461","1461.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EUR","Europe","","BIH","Bosnia and Herzegovina","","132 [32 - 566]","132.00000","32.00000","566.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AFR","Africa","","BWA","Botswana","","249","249.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AMR","Americas","","BRA","Brazil","","64357","64357.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","WPR","Western Pacific","","BRN","Brunei Darussalam","","9 [2 - 35]","9.00000","2.00000","35.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EUR","Europe","","BGR","Bulgaria","","141","141.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AFR","Africa","","BFA","Burkina Faso","","1613 [404 - 6274]","1613.00000","404.00000","6274.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AFR","Africa","","BDI","Burundi","","657 [138 - 2844]","657.00000","138.00000","2844.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AFR","Africa","","CPV","Cabo Verde","","43 [10 - 195]","43.00000","10.00000","195.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","WPR","Western Pacific","","KHM","Cambodia","","356","356.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AFR","Africa","","CMR","Cameroon","","2544 [606 - 11129]","2544.00000","606.00000","11129.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AMR","Americas","","CAN","Canada","","614","614.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AFR","Africa","","CAF","Central African Republic","","610 [140 - 2646]","610.00000","140.00000","2646.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AFR","Africa","","TCD","Chad","","1168 [257 - 4734]","1168.00000","257.00000","4734.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AMR","Americas","","CHL","Chile","","811","811.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","WPR","Western Pacific","","CHN","China","","15480","15480.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AMR","Americas","","COL","Colombia","","20923","20923.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AFR","Africa","","COM","Comoros","","57 [13 - 220]","57.00000","13.00000","220.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AFR","Africa","","COG","Congo","","450 [110 - 2113]","450.00000","110.00000","2113.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","WPR","Western Pacific","","COK","Cook Islands","","1","1.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AMR","Americas","","CRI","Costa Rica","","407","407.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AFR","Africa","","CIV","Côte d'Ivoire","","2412 [535 - 9912]","2412.00000","535.00000","9912.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EUR","Europe","","HRV","Croatia","","54","54.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AMR","Americas","","CUB","Cuba","","561","561.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EUR","Europe","","CYP","Cyprus","","23","23.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EUR","Europe","","CZE","Czech Republic","","99","99.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","SEAR","South-East Asia","","PRK","Democratic People's Republic of Korea","","1169 [271 - 5015]","1169.00000","271.00000","5015.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AFR","Africa","","COD","Democratic Republic of the Congo","","8755 [1954 - 37066]","8755.00000","1954.00000","37066.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EUR","Europe","","DNK","Denmark","","50","50.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","DJI","Djibouti","","60 [12 - 295]","60.00000","12.00000","295.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AMR","Americas","","DMA","Dominica","","5","5.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AMR","Americas","","DOM","Dominican Republic","","2608","2608.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AMR","Americas","","ECU","Ecuador","","2144","2144.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","EGY","Egypt","","4101 [956 - 16123]","4101.00000","956.00000","16123.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AMR","Americas","","SLV","El Salvador","","2767","2767.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AFR","Africa","","GNQ","Equatorial Guinea","","26 [5 - 112]","26.00000","5.00000","112.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AFR","Africa","","ERI","Eritrea","","474 [102 - 2024]","474.00000","102.00000","2024.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EUR","Europe","","EST","Estonia","","70","70.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AFR","Africa","","ETH","Ethiopia","","7334 [1644 - 29060]","7334.00000","1644.00000","29060.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","WPR","Western Pacific","","FJI","Fiji","","20 [18 - 27]","20.00000","18.00000","27.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EUR","Europe","","FIN","Finland","","76","76.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EUR","Europe","","FRA","France","","665","665.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AFR","Africa","","GAB","Gabon","","152 [31 - 785]","152.00000","31.00000","785.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AFR","Africa","","GMB","Gambia","","169 [38 - 704]","169.00000","38.00000","704.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EUR","Europe","","GEO","Georgia","","209","209.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EUR","Europe","","DEU","Germany","","653","653.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AFR","Africa","","GHA","Ghana","","2527 [587 - 10999]","2527.00000","587.00000","10999.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EUR","Europe","","GRC","Greece","","180","180.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AMR","Americas","","GRD","Grenada","","7","7.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AMR","Americas","","GTM","Guatemala","","6025","6025.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AFR","Africa","","GIN","Guinea","","1008 [243 - 4065]","1008.00000","243.00000","4065.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AFR","Africa","","GNB","Guinea-Bissau","","169 [39 - 717]","169.00000","39.00000","717.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AMR","Americas","","GUY","Guyana","","160","160.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AMR","Americas","","HTI","Haiti","","2703 [633 - 10908]","2703.00000","633.00000","10908.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AMR","Americas","","HND","Honduras","","8248","8248.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EUR","Europe","","HUN","Hungary","","154","154.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EUR","Europe","","ISL","Iceland","","2","2.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","SEAR","South-East Asia","","IND","India","","52998","52998.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","SEAR","South-East Asia","","IDN","Indonesia","","11687 [2775 - 46330]","11687.00000","2775.00000","46330.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","IRN","Iran (Islamic Republic of)","","3630 [874 - 16070]","3630.00000","874.00000","16070.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","IRQ","Iraq","","6093 [3063 - 9886]","6093.00000","3063.00000","9886.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EUR","Europe","","IRL","Ireland","","54","54.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EUR","Europe","","ISR","Israel","","160","160.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EUR","Europe","","ITA","Italy","","530","530.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AMR","Americas","","JAM","Jamaica","","1250","1250.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","WPR","Western Pacific","","JPN","Japan","","450","450.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","JOR","Jordan","","205","205.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EUR","Europe","","KAZ","Kazakhstan","","1499","1499.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AFR","Africa","","KEN","Kenya","","3175","3175.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","WPR","Western Pacific","","KIR","Kiribati","","8","8.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","KWT","Kuwait","","102 [72 - 133]","102.00000","72.00000","133.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EUR","Europe","","KGZ","Kyrgyzstan","","497","497.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","WPR","Western Pacific","","LAO","Lao People's Democratic Republic","","473 [119 - 1919]","473.00000","119.00000","1919.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EUR","Europe","","LVA","Latvia","","143","143.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","LBN","Lebanon","","249 [51 - 1339]","249.00000","51.00000","1339.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AFR","Africa","","LSO","Lesotho","","770 [678 - 848]","770.00000","678.00000","848.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AFR","Africa","","LBR","Liberia","","469 [111 - 2045]","469.00000","111.00000","2045.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","LBY","Libya","","157 [35 - 663]","157.00000","35.00000","663.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EUR","Europe","","LTU","Lithuania","","202","202.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EUR","Europe","","LUX","Luxembourg","","1","1.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AFR","Africa","","MDG","Madagascar","","1810 [452 - 7244]","1810.00000","452.00000","7244.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AFR","Africa","","MWI","Malawi","","321","321.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","WPR","Western Pacific","","MYS","Malaysia","","1244 [292 - 6109]","1244.00000","292.00000","6109.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","SEAR","South-East Asia","","MDV","Maldives","","12 [3 - 50]","12.00000","3.00000","50.00000",""
